NSAID,PGC,distance,r,i,z,I,K,vhelio,vhelio_err
129461,5222,24,9.89079,9.45754,9.12691,,7.134,2379.43,230
143906,49044,31.2,11.3435,10.9702,10.6771,,7.155,2074.87,120
130902,7525,33.3,10.8225,10.4196,10.1384,9.22,7.171,2589.29,207.5
136847,29814,23.7,11.1486,10.7474,10.4464,9.15,7.199,1561.9,137.5
78244,,20.7129,12.8875,12.4641,12.2356,,7.253,1430.41,127.5
78246,,20.7476,12.3973,12.1554,12.1298,,7.253,1432.8,127.5
141139,39659,31.6,10.8827,10.4697,10.1747,10.3,7.257,2299.79,127.5
136420,29050,25.8,12.474,12.0004,11.6153,9.5,7.258,1398.31,162.5
158036,29855,23.7,11.4273,10.9222,10.5213,8.22,7.272,1457.37,142.5
129865,5663,20.1,10.4886,10.1704,9.83388,9.37,7.289,1627.19,127.5
133005,11404,38,11.9748,11.6039,11.2637,,7.373,1692.28,142.5
17878,51233,23.5,10.7446,10.3844,10.1334,10.25,7.38,1703.18,120
145756,53643,32.2,11.1231,10.7039,10.4319,,7.393,2003.85,120
172734,42797,21,10.734,10.3772,10.1218,9.65,7.402,1473.41,142.5
137020,30083,26.4,11.3452,10.9119,10.5464,11.38,7.448,1555.78,132.5
148065,60459,25.9,11.4854,11.102,10.8557,,7.484,1703.39,112.5
140394,37258,23.2,11.3292,10.9044,10.6279,,7.516,1610.67,182.5
160904,37930,23.2,10.6913,10.2802,9.99413,,7.554,1855.57,165
165896,53862,26.2,11.7217,11.2978,10.977,10.12,7.562,1509.42,127.5
164224,49514,30.9,10.7479,10.3823,10.0584,11.43,7.609,2565.94,120
56483,49356,30.9,11.0108,10.5401,10.194,,7.621,2419.57,120
144021,49354,37.9584,11.1026,10.6346,10.7586,,7.625,2613.14,120
21709,71047,32.7,11.5281,11.1405,10.8741,10.5,7.627,2047.52,145
137223,30445,26.4,11.538,11.2381,10.7418,,7.631,1446.09,135
140303,36921,22.1,11.0232,10.6329,10.3611,9.49,7.648,1491.63,175
145729,53499,21,11.2597,10.8012,10.4095,9.49,7.693,1968.95,120
14373,44392,24.3,12.7904,12.2712,11.8738,10.78,7.787,1260.07,157.5
164865,51275,25.5,11.4657,11.1082,10.854,,7.816,1616.07,122.5
75467,,21.2259,12.8624,12.4685,12.1526,,7.826,1465.76,125
158347,30744,20.9,10.8797,10.4979,10.2043,10.37,7.853,1652.21,130
43117,51978,38.9,11.8779,11.4948,11.2333,10.28,7.903,2247.4,115
139121,34566,21.4,10.4955,10.1616,9.89873,,7.904,2099.02,135
142722,44600,27.8,11.3049,10.886,10.5694,9.93,7.907,2081.47,135
141177,39801,24.4,10.335,9.98954,9.57377,,7.932,2725.69,155
154352,5766,21.8,11.2947,10.9163,10.6944,9.88,7.962,1694.87,130
